invoice_no,transaction_value,unique_products
537636,131.2,2
537646,191.2,15
537649,58.0,4
537650,33.75,2
537653,146.9,6
537655,17.9,1
537657,3198.24,2
537659,6936.85,4
537665,33.15,4
537670,46.75,3
537671,111.75,3
537672,141.95,7
537673,360.6,3
537676,98.4,2
537678,10.95,1
537681,131.4,1
537683,47.7,2
537688,175.2,1
537689,15.9,1
537690,34.0,2
537691,70.65,4
537692,12.75,1
537693,18.0,1
537694,17.0,1
537707,17.0,1
537738,25.5,1
537743,37.75,2
537751,23.8,1
537754,34.35,3
537755,186.0,3
537757,119.1,2
537759,13.5,1
537760,197.1,1
537762,81.05,5
537764,25.85,3
537765,132.93,10
537767,350.4,1
537769,31.3,3
537770,17.0,1
537771,270.0,3
537772,77.15,8
537773,79.1,7
537775,279.15,7
537781,65.1,8
537789,236.5,3
537791,147.4,2
537792,18.45,2
537794,122.05,9
537795,108.7,5
537796,95.4,2
537799,42.5,2
537801,324.05,4
537802,283.35,9
537803,89.5,2
537806,242.7,2
537808,6.75,1
537809,70.75,4
537810,23.85,1
537816,12.75,1
537818,360.75,9
537819,60.4,2
537822,93.05,5
537825,65.6,5
537826,61.14,3
537828,9.95,1
537829,120.3,2
537830,96.15,2
537831,23.8,2
537837,21.8,1
537840,134.75,6
537842,31.8,1
537843,77.35,4
537844,65.05,7
537845,56.55,3
537847,14.95,1
537852,271.7,6
537855,61.65,5
537859,528.65,6
537861,39.8,1
537862,17.85,1
537863,5.95,1
537864,23.8,1
537866,485.1,4
537867,48.7,3
537868,204.3,7
537871,20.4,2
537879,47.7,2
537880,31.8,2
537881,438.6,6
537884,236.4,2
537885,115.25,6
537886,15.9,1
537887,175.2,1
537888,44.55,3
537889,84.65,5
537892,48.5,3
537894,36.0,1
537895,238.8,1
537896,12.75,1
537897,50.9,3
537898,112.85,3
537901,251.4,2
537915,119.3,4
537955,200.65,7
537963,81.8,3
537967,39.9,2
537995,123.9,3
538000,42.5,1
538002,223.1,10
538003,463.1,4
538005,612.0,1
538007,15.9,1
538008,162.9,4
538009,490.95,12
538010,131.4,1
538011,70.45,4
538012,120.95,10
538014,307.8,4
538015,8.5,1
538032,15.9,1
538035,15.25,2
538037,23.8,1
538040,26.2,4
538050,15.9,1
538051,12.9,2
538053,94.8,2
538056,137.25,5
538063,1914.24,1
538065,31.8,1
538067,62.7,4
538068,15.9,1
538069,77.85,4
538070,79.9,3
538076,102.05,3
538077,95.4,5
538078,162.25,8
538079,23.8,2
538080,62.9,2
538086,47.7,4
538093,280.5,5
538094,105.55,5
538095,59.8,3
538097,137.0,5
538104,25.5,1
538106,8.5,1
538113,31.8,1
538116,15.9,1
538126,92.95,5
538145,125.8,8
538146,142.15,7
538147,15.0,1
538151,236.7,3
538155,27.8,2
538156,108.95,3
538157,15.9,1
538163,128.35,9
538166,42.5,4
538167,31.6,3
538168,27.0,1
538169,28.8,2
538170,5.95,1
538171,35.95,1
538174,603.95,6
538175,378.0,1
538178,13.9,1
538180,79.9,2
538181,89.1,3
538182,25.5,1
538183,102.7,5
538184,47.7,3
538185,113.5,2
538186,47.7,3
538187,45.4,2
538190,25.5,1
538191,3585.9,4
538192,135.0,1
538193,67.5,1
538195,337.5,2
538196,497.4,4
538197,5.95,1
538198,53.15,3
538199,31.8,2
538200,38.3,4
538201,66.4,4
538202,161.25,11
538203,35.7,1
538205,104.04,8
538206,163.0,7
538207,66.55,7
538208,7.95,1
538209,43.6,3
538210,118.35,6
538211,51.0,2
538216,135.9,2
538240,76.5,1
538248,32.6,3
538250,32.85,3
538252,74.8,4
538255,542.65,19
538263,35.7,2
538268,27.8,2
538279,270.0,4
538296,47.7,3
538306,202.5,1
538307,127.7,14
538308,67.5,2
538309,7.95,1
538311,72.95,2
538313,743.35,2
538327,8.95,1
538346,15.3,1
538347,120.45,7
538352,35.7,2
538353,406.0,3
538354,775.3,12
538356,51.0,2
538361,40.3,3
538363,36.3,3
538364,9.95,1
538365,59.5,2
538366,226.95,3
538368,24.4,3
538369,34.0,2
538370,111.15,7
538371,27.8,2
538374,5.95,1
538379,75.5,8
538382,18.45,2
538397,124.95,1
538409,11.9,1
538417,11.9,1
538419,57.35,7
538437,5.95,1
538449,17.9,2
538453,20.7,2
538470,9.95,1
538473,44.65,3
538488,12.9,1
538497,32.85,3
538499,388.65,2
538501,11.9,1
538503,175.2,1
538507,89.9,5
538508,185.0,12
538509,16.7,2
538510,59.45,5
538511,66.3,2
538512,43.95,3
538513,35.4,2
538514,332.65,22
538515,612.0,3
538517,41.15,3
538518,116.45,7
538519,19.95,1
538521,229.75,11
538523,53.73,4
538525,496.05,6
538528,15.3,1
538529,223.55,2
538532,80.75,3
538535,16.95,1
538537,195.55,4
538541,68.85,4
538557,27.8,2
538558,9.95,1
538576,67.25,5
538592,89.25,4
538593,67.5,1
538625,143.1,6
538626,27.85,2
538630,172.55,6
538634,114.0,6
538635,75.65,9
538636,235.85,15
538637,82.55,7
538638,74.35,6
538641,373.8,5
538644,8.5,1
538646,63.75,1
538648,261.6,1
538651,45.7,4
538652,25.5,1
538653,171.0,2
538655,34.3,4
538656,55.53,3
538657,83.55,5
538658,11.9,1
538659,94.95,6
538660,267.55,8
538662,662.9,4
538663,25.5,1
538664,527.2,7
538665,119.3,4
538671,102.0,1
538685,15.0,1
538687,175.2,1
538689,82.15,4
538697,31.8,1
538706,50.15,3
538707,37.7,5
538708,153.45,4
538709,32.2,3
538710,68.55,3
538714,44.85,3
538715,49.8,2
538722,217.65,8
538753,106.15,4
538783,130.9,2
538795,102.95,3
538799,317.0,10
538807,89.5,5
538808,69.6,2
538809,7.95,1
538810,42.65,3
538811,47.6,1
538812,15.9,1
538814,21.85,3
538815,70.65,4
538816,310.9,4
538826,77.1,4
538827,190.9,3
538832,98.45,6
538836,29.4,3
538839,157.57,12
538841,63.6,2
538843,43.75,4
538844,87.6,1
538849,122.05,10
538850,25.5,1
538851,31.8,2
538852,19.85,2
538854,34.0,2
538855,75.95,4
538857,33.5,3
538860,28.4,2
538862,12.75,1
538863,105.0,8
538865,32.65,2
538866,210.3,15
538869,12.75,1
538870,61.75,3
538872,55.6,3
538878,51.0,1
538886,39.8,2
538888,34.0,1
538890,15.9,1
538894,53.3,4
538896,135.2,3
538899,55.7,2
538900,173.95,8
538901,16.95,1
538903,116.7,6
538907,169.2,3
538908,84.6,3
538909,47.7,3
538910,65.65,3
538917,138.05,12
538935,32.35,2
538942,9.95,1
538944,32.9,2
538945,243.2,2
538951,84.1,5
538991,529.0,4
538992,14.45,2
538994,127.2,4
538995,230.4,4
538996,332.1,5
538998,943.5,2
538999,960.9,8
539000,120.35,4
539002,188.84,13
539006,23.8,1
539007,21.9,2
539008,127.2,2
539009,167.05,12
539010,27.8,2
539014,15.9,1
539015,218.65,6
539016,250.0,1
539018,31.8,1
539019,44.2,4
539033,228.6,1
539034,56.5,5
539036,38.25,1
539038,31.8,1
539039,113.85,4
539040,67.25,4
539044,583.65,8
539046,8.5,1
539049,123.2,2
539050,13.5,1
539053,81.05,10
539064,54.45,5
539075,71.75,4
539076,213.7,3
539078,31.8,1
539079,19.95,1
539080,295.0,1
539082,35.85,2
539086,47.7,1
539088,611.95,7
539092,350.4,1
539094,15.9,1
539095,19.9,1
539098,59.7,2
539099,74.55,5
539103,137.2,4
539105,85.0,1
539106,318.6,4
539111,63.6,2
539112,135.35,7
539118,38.7,1
539142,27.8,2
539144,559.2,1
539181,28.6,4
539185,18.65,2
539196,175.85,8
539201,17.85,1
539212,185.15,10
539213,43.7,2
539214,23.8,2
539215,79.05,5
539216,11.9,1
539217,81.6,2
539222,107.3,3
539225,227.3,8
539226,36.9,2
539240,15.9,1
539243,82.75,5
539246,38.63,4
539247,41.75,4
539249,110.1,4
539250,87.5,3
539255,102.0,3
539256,212.55,7
539261,28.65,2
539263,100.85,6
539264,85.85,2
539266,38.25,1
539272,39.8,1
539275,175.2,1
539280,66.35,3
539281,57.3,3
539286,59.7,1
539292,242.2,5
539293,157.05,6
539294,138.45,10
539295,170.0,6
539297,15.9,1
539298,81.2,5
539299,188.55,9
539303,138.9,2
539305,66.05,4
539306,77.35,3
539307,31.8,1
539308,17.0,1
539309,17.85,1
539311,71.5,2
539312,419.4,1
539313,35.7,2
539314,241.15,5
539315,95.1,4
539316,51.0,2
539317,126.45,6
539318,240.0,1
539320,210.3,5
539321,70.7,7
539322,33.75,2
539324,9.95,1
539325,95.4,5
539326,315.0,9
539327,160.8,3
539328,127.2,1
539330,188.0,2
539333,15.9,1
539334,15.45,2
539335,320.1,4
539353,119.7,3
539374,105.9,6
539379,96.15,6
539391,176.1,5
539395,799.8,6
539401,683.7,4
539403,101.3,4
539404,13.7,2
539405,519.5,5
539406,214.2,1
539407,18.0,1
539408,54.0,1
539411,46.65,3
539414,16.7,2
539415,68.0,1
539417,15.9,1
539418,25.5,1
539419,166.8,2
539421,229.9,6
539422,17.85,1
539423,106.05,4
539435,49.8,2
539439,103.4,6
539440,250.0,1
539442,42.5,2
539443,175.2,1
539444,336.25,6
539445,230.8,3
539446,258.4,4
539447,116.9,4
539450,34.45,3
539452,66.6,1
539455,19.65,3
539456,125.65,12
539459,7.95,1
539461,57.65,2
539462,17.0,1
539463,11.9,1
539464,15.9,1
539465,367.8,3
539466,174.75,5
539468,194.05,5
539469,65.45,6
539470,121.2,7
539471,15.45,2
539473,91.4,3
539475,47.25,5
539478,93.95,5
539483,17.0,1
539484,205.2,10
539487,45.7,2
539489,59.7,1
539490,40.5,1
539491,15.0,1
539496,39.95,1
539497,59.7,2
539498,29.9,2
539501,15.9,1
539502,25.5,2
539551,69.6,4
539564,175.2,1
539570,47.7,3
539571,15.9,1
539579,68.65,6
539581,326.5,2
539586,159.2,1
539587,175.2,1
539588,95.6,9
539590,199.45,3
539593,92.4,2
539607,215.65,6
539609,102.0,1
539610,51.65,6
539630,175.2,1
539635,443.1,4
539636,295.6,5
539637,58.75,5
539639,5.95,1
539641,96.1,3
539642,60.65,5
539647,67.35,8
539653,207.9,8
539654,47.6,2
539658,65.55,3
539659,111.55,7
539662,13.5,1
539663,277.4,9
539676,60.9,2
539688,150.0,1
539722,187.8,8
539723,85.0,1
539724,382.5,1
539725,47.7,6
539727,18.0,1
539728,281.25,8
539730,35.8,2
539731,304.8,1
539752,228.6,7
539754,31.45,3
539755,38.25,2
539760,53.65,3
539761,179.4,4
539764,67.5,2
539766,45.8,2
539826,209.7,7
539828,23.8,1
539831,31.68,3
539835,41.65,2
539836,5.95,1
539837,222.6,14
539840,45.0,1
539867,91.55,3
539920,104.1,6
539921,5.95,1
539933,33.75,2
539946,18.0,1
539957,353.25,9
539981,48.7,3
539982,75.45,2
539984,50.0,1
539985,65.7,1
539987,6.95,1
539988,54.15,6
540001,59.7,1
540002,68.0,1
540003,219.25,11
540013,93.75,8
540014,158.75,15
540015,31.8,1
540016,7.95,1
540017,15.9,1
540019,69.55,5
540020,69.7,2
540021,96.55,7
540022,175.2,1
540023,156.15,4
540024,23.8,1
540027,73.6,4
540028,220.2,9
540031,254.95,7
540033,47.7,6
540040,200.0,1
540043,78.25,5
540060,55.7,2
540073,292.25,7
540093,28.75,3
540094,82.25,3
540095,47.3,3
540096,39.8,1
540098,33.9,4
540099,215.35,9
540113,9.95,1
540120,237.8,5
540122,63.6,1
540130,67.5,1
540146,30.6,2
540157,158.2,7
540161,15.9,2
540162,30.6,2
540163,9.95,1
540168,71.5,4
540169,198.3,15
540172,68.05,4
540176,647.0,7
540178,137.05,5
540179,245.8,17
540180,8.5,1
540182,31.8,1
540183,830.7,9
540184,89.45,4
540185,95.15,7
540187,58.4,4
540188,69.4,8
540239,332.55,8
540240,71.6,2
540242,61.95,2
540247,393.3,30
540248,172.4,10
540249,67.5,2
540251,12.75,1
540253,675.0,3
540257,103.4,4
540258,306.0,1
540259,99.4,4
540260,357.7,13
540265,104.55,6
540267,270.0,2
540268,49.05,3
540269,81.0,2
540274,71.4,2
540277,749.1,8
540278,66.55,7
540288,459.9,34
540316,175.69,9
540345,438.0,2
540348,70.1,5
540349,60.35,3
540350,5.95,1
540351,93.75,6
540353,156.8,16
540354,35.7,1
540357,322.1,5
540358,98.1,1
540364,80.05,6
540365,214.1,7
540371,171.45,8
540372,502.0,17
540373,48.85,4
540383,53.55,1
540387,17.85,1
540395,122.8,8
540396,556.2,6
540397,112.55,11
540401,525.6,1
540402,193.6,7
540404,130.0,1
540407,35.7,1
540409,267.0,2
540410,213.7,3
540411,39.8,1
540412,127.7,7
540413,12.75,1
540414,88.0,3
540415,103.5,6
540416,26.95,2
540420,144.25,3
540455,121.5,3
540456,47.7,3
540457,87.5,3
540458,404.35,15
540460,17.0,1
540462,17.85,1
540463,143.5,5
540464,368.7,4
540469,303.35,10
540471,268.15,9
540472,93.5,3
540473,70.55,5
540475,68.0,1
540480,123.6,4
540481,32.7,2
540482,87.55,8
540489,203.15,15
540493,132.8,6
540496,127.5,4
540498,160.5,3
540499,235.05,11
540500,275.55,3
540501,39.8,1
540504,83.3,5
540505,51.7,3
540506,81.6,5
540509,45.0,3
540510,63.75,1
540511,160.65,7
540512,44.5,6
540514,113.1,10
540515,31.4,3
540516,114.35,8
540517,49.3,4
540519,56.0,1
540520,15.45,2
540521,17.85,1
540522,15.3,1
540523,82.4,3
540524,61.2,2
540525,34.0,2
540526,50.1,5
540528,35.45,2
540530,69.8,3
540531,23.85,3
540532,151.95,10
540533,7.95,1
540536,52.05,5
540538,54.5,5
540539,38.25,1
540540,82.25,5
540541,125.15,8
540542,17.0,1
540543,87.5,4
540545,101.6,3
540546,141.65,5
540547,50.0,1
540548,83.7,4
540550,518.7,22
540552,72.35,4
540553,33.9,2
540554,101.25,6
540561,17.85,1
540562,92.25,2
540563,175.2,1
540566,56.15,6
540567,28.83,2
540568,228.5,7
540595,15.9,1
540630,215.15,6
540635,208.95,3
540639,67.5,1
540640,93.75,10
540641,103.3,6
540642,200.55,4
540644,47.6,2
540645,98.1,1
540647,529.45,15
540648,202.5,2
540653,250.0,1
540662,265.2,4
540664,96.9,4
540671,67.5,1
540672,168.15,11
540680,6.45,1
540687,103.35,7
540688,90.0,1
540690,75.5,3
540691,198.92,3
540692,37.75,2
540698,3054.36,6
540702,48.15,3
540704,164.45,8
540753,36.9,2
540769,18.0,1
540770,62.65,3
540777,63.75,1
540779,17.85,1
540782,59.8,1
540789,36.0,1
540795,103.7,6
540797,8.5,1
540798,39.8,1
540801,550.2,5
540802,175.2,1
540803,130.1,9
540809,9.95,1
540813,37.3,3
540817,135.5,7
540818,4522.5,1
540819,23.85,1
540822,7.95,1
540824,64.65,3
540825,27.0,1
540826,65.8,3
540827,127.8,6
540834,326.3,9
540835,18.0,1
540839,31.45,3
540840,15.9,1
540849,210.5,10
540851,40.7,3
540856,259.25,8
540858,29.7,2
540859,80.85,7
540900,53.85,2
540907,314.85,11
540908,559.2,1
540915,19.35,1
540940,178.95,7
540943,103.35,7
540946,393.1,4
540951,520.6,4
540953,18.85,2
540954,121.1,8
540955,34.75,1
540957,44.65,3
540968,109.0,8
540970,184.9,2
540971,94.0,3
540972,298.5,4
540975,198.75,10
540976,187.7,4
540979,79.6,2
540980,62.6,5
540981,40.45,3
540983,745.0,1
540984,16.7,2
540985,76.5,1
540986,275.25,15
540990,68.6,4
540991,189.9,2
540992,98.8,6
540993,70.3,4
540994,136.15,5
540996,49.7,3
540998,15.9,1
541001,165.0,1
541002,16.35,1
541003,90.65,2
541004,39.8,2
541005,28.65,3
541006,144.15,7
541010,16.35,1
541011,25.5,1
541012,17.0,2
541013,89.7,2
541014,78.1,5
541015,84.35,5
541018,153.25,12
541021,179.4,3
541038,41.9,5
541043,250.0,1
541086,104.55,7
541087,130.55,4
541088,150.9,2
541091,25.5,1
541093,615.6,2
541103,85.05,4
541109,14.95,1
541110,135.2,7
541111,43.25,3
541112,17.85,1
541113,106.5,4
541114,175.2,1
541115,300.1,5
541120,155.8,3
541121,81.45,3
541122,74.25,4
541123,198.95,10
541124,131.4,1
541125,18.0,1
541126,65.2,3
541136,119.6,2
541138,108.0,1
541172,243.2,2
541202,26.95,2
541203,203.76,1
541204,131.3,4
541205,178.0,10
541206,836.6,3
541213,160.1,9
541214,140.55,9
541215,350.5,11
541216,23.8,2
541217,36.9,2
541220,4520.8,4
541223,8.5,1
541224,61.95,3
541225,72.9,7
541226,214.2,5
541227,204.0,2
541238,189.5,12
541241,28.9,3
541244,108.65,9
541249,8.5,1
541251,99.6,2
541252,43.7,2
541253,54.9,2
541258,148.2,7
541259,54.15,3
541260,15.9,2
541262,40.3,4
541264,29.95,3
541265,63.0,6
541266,438.35,4
541267,245.15,7
541268,37.4,2
541269,364.5,8
541270,121.45,7
541271,65.4,2
541274,49.9,3
541277,42.7,5
541279,83.4,5
541280,151.9,8
541281,39.95,1
541282,528.05,15
541285,81.35,4
541286,23.85,1
541288,24.25,2
541289,89.85,7
541291,47.5,2
541292,115.3,4
541293,36.1,3
541294,27.0,1
541302,12.75,1
541316,12.75,1
541357,29.85,1
541362,13.5,1
541371,70.9,4
541400,398.0,1
541405,414.0,4
541406,124.35,10
541408,49.05,1
541410,267.3,7
541413,64.6,6
541414,82.25,6
541417,77.15,8
541426,440.0,1
541427,405.0,6
541428,35.8,2
541429,15.9,1
541430,913.68,7
541434,100.94,2
541435,17.0,1
541436,270.0,3
541480,18.0,1
541481,73.25,4
541483,77.75,5
541484,31.8,1
541485,63.8,8
541486,48.1,4
541488,403.2,3
541489,166.6,12
541491,236.4,3
541504,31.8,3
541505,15.0,1
541509,11.9,2
541510,107.3,8
541511,8.5,1
541517,18.0,1
541518,351.85,12
541520,38.25,1
541521,32.7,1
541522,114.85,7
541523,35.3,3
541524,162.3,9
541530,68.0,4
541552,191.85,5
541564,31.8,4
541565,100.65,12
541567,154.65,5
541568,146.0,3
541569,135.9,2
541570,204.0,1
541571,20.85,2
541575,11.9,1
541576,16.9,2
541585,240.7,12
541587,56.3,2
541588,19.35,1
541590,39.6,3
541593,44.25,3
541594,7.95,1
541595,28.19,3
541596,23.8,2
541602,48.45,5
541604,57.0,4
541609,17.0,1
541631,365.4,10
541648,37.7,3
541655,175.5,12
541657,26.85,1
541659,17.0,1
541660,43.25,3
541664,70.9,4
541669,16.95,1
541670,283.8,2
541671,187.0,5
541675,30.0,1
541676,121.7,5
541677,199.8,1
541678,23.85,3
541680,67.5,1
541682,25.5,1
541684,118.05,9
541686,277.5,7
541698,20.35,3
541703,56.0,1
541706,31.8,1
541709,127.15,6
541711,336.9,7
541712,43.65,5
541732,23.8,1
541756,80.0,1
541783,252.4,8
541784,87.4,3
541785,46.9,2
541788,85.35,2
541789,4072.62,38
541792,47.7,1
541793,12.75,1
541795,11.9,1
541796,36.9,2
541797,5.95,1
541798,193.8,2
541800,49.9,2
541808,10.0,1
541812,175.2,1
541813,51.0,1
541816,139.1,9
541832,55.55,2
541835,44.7,2
541836,380.3,3
541838,228.6,6
541839,77.95,4
541841,21.8,1
541842,31.0,3
541843,232.5,8
541844,13.95,2
541845,36.7,4
541846,53.2,3
541847,112.35,10
541848,74.65,6
541849,44.55,5
541850,87.25,7
541851,44.85,3
541853,145.9,4
541855,190.75,20
541857,388.5,5
541858,25.85,2
541859,70.0,6
541860,88.6,4
541862,57.5,3
541864,797.0,4
541866,35.25,2
541867,5.95,1
541872,9.95,1
541873,61.7,3
541874,258.6,2
541875,43.7,2
541876,51.85,2
541877,78.5,3
541880,25.5,1
541881,19.35,1
541883,19.9,1
541886,192.85,8
541903,91.8,1
541916,90.8,2
541919,31.8,2
541932,2032.64,22
541946,128.5,6
541947,74.8,4
541948,10.9,1
541949,17.0,1
541950,279.0,4
541962,70.85,3
541963,120.5,4
541965,578.3,6
541968,95.85,4
541970,341.2,10
541972,61.65,4
541974,21.9,1
541976,47.6,2
541977,73.2,4
541978,91.8,4
541979,188.85,9
541980,28.0,1
541981,76.2,1
541983,15.0,1
541984,13.9,1
541985,79.9,1
541986,84.9,5
541987,91.55,8
541989,85.35,5
541990,126.65,5
541991,126.65,5
541996,36.35,2
541997,83.3,1
541998,40.0,1
542000,19.9,1
542001,76.5,2
542003,125.9,3
542005,35.7,1
542006,158.7,7
542025,222.4,1
542026,68.85,4
542057,51.55,6
542065,65.5,5
542080,90.0,1
542085,122.4,3
542087,85.85,4
542090,9.95,1
542093,219.9,7
542096,67.05,3
542098,25.5,1
542099,99.5,1
542100,17.0,1
542102,757.9,8
542103,52.1,4
542105,100.55,5
542106,657.0,3
542107,230.5,21
542108,39.7,2
542110,86.7,4
542111,58.8,4
542112,151.2,12
542113,33.75,2
542114,299.95,14
542121,100.95,6
542122,329.5,4
542123,195.1,2
542124,217.5,2
542125,17.0,1
542126,17.85,1
542128,53.85,2
542129,9.95,1
542130,43.7,2
542131,143.2,2
542132,36.0,1
542134,282.3,2
542143,472.5,4
542145,419.4,1
542146,61.2,2
542147,251.0,5
542151,64.65,4
542152,29.85,1
542153,47.7,3
542174,51.75,3
542192,100.8,4
542208,35.7,1
542212,142.8,1
542215,161.0,4
542216,200.3,6
542217,28.65,3
542219,45.65,3
542220,109.35,2
542221,241.05,16
542226,36.9,2
542227,82.1,5
