invoice_no,product_id,quantity,unit_price,customer_id,country
536408,21755,3,5.95,14307.0,United Kingdom
536408,85014B,3,5.95,14307.0,United Kingdom
536408,85014A,3,5.95,14307.0,United Kingdom
536409,90199C,3,6.35,17908.0,United Kingdom
536409,22785,1,6.75,17908.0,United Kingdom
536409,90199C,1,6.35,17908.0,United Kingdom
536409,21955,1,7.95,17908.0,United Kingdom
536409,22183,1,6.75,17908.0,United Kingdom
536409,84906,1,5.95,17908.0,United Kingdom
536409,21065,1,5.95,17908.0,United Kingdom
536409,90199C,2,6.35,17908.0,United Kingdom
536412,22968,4,9.95,17920.0,United Kingdom
536412,22179,2,6.75,17920.0,United Kingdom
536412,22468,2,6.75,17920.0,United Kingdom
536412,20750,1,7.95,17920.0,United Kingdom
536415,22580,1,5.95,12838.0,United Kingdom
536415,22942,3,8.5,12838.0,United Kingdom
536415,22941,3,8.5,12838.0,United Kingdom
536416,22768,4,9.95,13255.0,United Kingdom
536416,22767,4,9.95,13255.0,United Kingdom
536425,22768,2,9.95,13758.0,United Kingdom
536425,22829,2,9.95,13758.0,United Kingdom
536446,22618,2,9.95,15983.0,United Kingdom
536460,22927,2,5.95,14849.0,United Kingdom
536460,22926,4,5.95,14849.0,United Kingdom
536460,22925,2,5.95,14849.0,United Kingdom
536460,21259,2,5.95,14849.0,United Kingdom
536460,21257,2,7.95,14849.0,United Kingdom
536464,48173C,1,7.95,17968.0,United Kingdom
536477,22423,16,10.95,16210.0,United Kingdom
536488,21621,1,8.5,17897.0,United Kingdom
536488,21370,2,6.35,17897.0,United Kingdom
536488,22468,1,6.75,17897.0,United Kingdom
536500,21755,6,5.95,17377.0,United Kingdom
536500,21754,6,5.95,17377.0,United Kingdom
536502,22423,2,12.75,16552.0,United Kingdom
536514,22485,4,12.75,17951.0,United Kingdom
536520,21794,1,6.75,14729.0,United Kingdom
536520,22926,1,5.95,14729.0,United Kingdom
536520,22760,1,12.75,14729.0,United Kingdom
536520,22501,1,9.95,14729.0,United Kingdom
536522,22776,1,9.95,15012.0,United Kingdom
536522,84968C,1,12.75,15012.0,United Kingdom
536522,22941,1,8.5,15012.0,United Kingdom
536522,85014A,1,5.95,15012.0,United Kingdom
536522,84563A,1,5.95,15012.0,United Kingdom
536522,21742,1,5.95,15012.0,United Kingdom
536523,22468,2,6.75,12868.0,United Kingdom
536523,21259,2,5.95,12868.0,United Kingdom
536525,22423,2,12.75,14078.0,United Kingdom
536525,22428,1,6.95,14078.0,United Kingdom
536525,20750,10,7.95,14078.0,United Kingdom
536526,22626,2,8.5,14001.0,United Kingdom
536526,22625,6,8.5,14001.0,United Kingdom
536526,22624,6,8.5,14001.0,United Kingdom
536527,POST,1,18.0,12662.0,Germany
536528,22839,1,14.95,15525.0,United Kingdom
536528,22423,1,12.75,15525.0,United Kingdom
536528,22607,1,9.95,15525.0,United Kingdom
536528,22635,1,9.95,15525.0,United Kingdom
536528,22634,1,9.95,15525.0,United Kingdom
536528,22839,1,14.95,15525.0,United Kingdom
536528,22968,3,9.95,15525.0,United Kingdom
536529,22947,2,16.95,14237.0,United Kingdom
536529,21258,1,12.75,14237.0,United Kingdom
536529,22627,2,8.5,14237.0,United Kingdom
536529,22487,2,9.95,14237.0,United Kingdom
536530,21657,1,6.95,17905.0,United Kingdom
536530,22941,1,8.5,17905.0,United Kingdom
536530,22120,1,9.95,17905.0,United Kingdom
536530,22423,1,12.75,17905.0,United Kingdom
536530,21625,1,6.95,17905.0,United Kingdom
536530,22783,1,19.95,17905.0,United Kingdom
536530,21662,1,5.95,17905.0,United Kingdom
536531,15056N,12,5.95,15485.0,United Kingdom
536531,15056BL,12,5.95,15485.0,United Kingdom
536531,20679,12,5.95,15485.0,United Kingdom
536531,22194,2,8.5,15485.0,United Kingdom
536531,22192,4,8.5,15485.0,United Kingdom
536531,22193,4,8.5,15485.0,United Kingdom
536531,22191,4,8.5,15485.0,United Kingdom
536531,22688,4,7.95,15485.0,United Kingdom
536531,22768,6,9.95,15485.0,United Kingdom
536532,20685,2,7.95,12433.0,Norway
536532,22842,6,6.75,12433.0,Norway
536533,22825,2,7.95,16955.0,United Kingdom
536533,22797,3,16.95,16955.0,United Kingdom
536533,21843,1,10.95,16955.0,United Kingdom
536535,22121,3,5.95,15605.0,United Kingdom
536535,22119,3,6.95,15605.0,United Kingdom
536535,21523,2,7.95,15605.0,United Kingdom
536535,48194,2,7.95,15605.0,United Kingdom
536535,20685,2,7.95,15605.0,United Kingdom
536537,22183,6,6.75,15922.0,United Kingdom
536537,22423,2,12.75,15922.0,United Kingdom
536537,22781,2,7.65,15922.0,United Kingdom
536538,21523,1,7.95,14594.0,United Kingdom
536538,48129,1,7.95,14594.0,United Kingdom
536538,21524,1,7.95,14594.0,United Kingdom
536538,22752,2,8.5,14594.0,United Kingdom
536539,22171,2,8.5,15165.0,United Kingdom
536539,82486,2,7.95,15165.0,United Kingdom
536539,85067,1,18.95,15165.0,United Kingdom
536539,48184,2,7.95,15165.0,United Kingdom
536539,48138,2,7.95,15165.0,United Kingdom
536539,48129,2,7.95,15165.0,United Kingdom
536539,21625,3,6.95,15165.0,United Kingdom
536539,22423,2,12.75,15165.0,United Kingdom
536539,20902,2,6.35,15165.0,United Kingdom
536540,22968,4,9.95,14911.0,EIRE
536540,85135B,2,7.95,14911.0,EIRE
536540,85136A,2,7.95,14911.0,EIRE
536540,85136C,2,7.95,14911.0,EIRE
536540,21055,4,8.95,14911.0,EIRE
536540,21056,4,8.95,14911.0,EIRE
536540,22622,6,9.95,14911.0,EIRE
536540,C2,1,50.0,14911.0,EIRE
536551,22625,1,8.5,17346.0,United Kingdom
536556,21922,2,7.95,17643.0,United Kingdom
536556,21843,1,10.95,17643.0,United Kingdom
536556,20749,2,7.95,17643.0,United Kingdom
536557,21258,1,12.75,17841.0,United Kingdom
536557,20749,1,7.95,17841.0,United Kingdom
536557,22785,1,6.75,17841.0,United Kingdom
536557,22786,2,5.95,17841.0,United Kingdom
536557,85064,2,5.45,17841.0,United Kingdom
536557,22468,1,6.75,17841.0,United Kingdom
536557,21259,4,5.95,17841.0,United Kingdom
536557,22941,1,8.5,17841.0,United Kingdom
536557,82484,1,6.45,17841.0,United Kingdom
536557,22794,1,7.95,17841.0,United Kingdom
536557,84352,1,16.95,17841.0,United Kingdom
536557,22795,2,6.75,17841.0,United Kingdom
536559,22366,10,6.75,17873.0,United Kingdom
536560,48129,10,6.75,13093.0,United Kingdom
536560,48111,10,6.75,13093.0,United Kingdom
536560,22847,4,14.95,13093.0,United Kingdom
536560,22846,4,14.95,13093.0,United Kingdom
536560,20685,20,6.75,13093.0,United Kingdom
536563,22941,1,8.5,17760.0,United Kingdom
536562,21777,2,7.95,13468.0,United Kingdom
536562,22752,2,8.5,13468.0,United Kingdom
536562,20685,2,7.95,13468.0,United Kingdom
536562,48185,2,7.95,13468.0,United Kingdom
536562,48194,2,7.95,13468.0,United Kingdom
536562,22423,2,12.75,13468.0,United Kingdom
536562,37449,2,9.95,13468.0,United Kingdom
536564,37449,4,9.95,13468.0,United Kingdom
536569,22171,1,8.5,16274.0,United Kingdom
536569,21462,1,6.75,16274.0,United Kingdom
536569,22622,1,9.95,16274.0,United Kingdom
536569,22119,1,6.95,16274.0,United Kingdom
536569,22121,1,5.95,16274.0,United Kingdom
536569,22765,1,14.95,16274.0,United Kingdom
536569,21351,2,6.75,16274.0,United Kingdom
536569,22635,1,9.95,16274.0,United Kingdom
536569,22428,1,6.95,16274.0,United Kingdom
536569,22946,1,16.95,16274.0,United Kingdom
536569,22825,1,7.95,16274.0,United Kingdom
536569,21340,1,12.75,16274.0,United Kingdom
536569,22767,1,9.95,16274.0,United Kingdom
536569,22660,1,7.95,16274.0,United Kingdom
536569,22941,1,8.5,16274.0,United Kingdom
536569,M,1,18.95,16274.0,United Kingdom
536569,21761,1,29.95,16274.0,United Kingdom
536570,21781,2,14.95,14496.0,United Kingdom
536571,84360,2,5.95,14696.0,United Kingdom
536571,21352,2,6.75,14696.0,United Kingdom
536571,85048,2,7.95,14696.0,United Kingdom
536572,22121,3,5.95,16539.0,United Kingdom
536572,22119,3,6.95,16539.0,United Kingdom
536572,21523,10,6.75,16539.0,United Kingdom
536572,21754,6,5.95,16539.0,United Kingdom
536572,21756,3,5.95,16539.0,United Kingdom
536574,21756,3,5.95,17025.0,United Kingdom
536582,22634,2,9.95,12947.0,United Kingdom
536582,22635,2,9.95,12947.0,United Kingdom
536585,37449,2,9.95,17460.0,United Kingdom
536586,22846,8,14.95,18229.0,United Kingdom
536586,22848,8,14.95,18229.0,United Kingdom
536587,22752,2,8.5,14142.0,United Kingdom
536588,21777,1,7.95,17069.0,United Kingdom
536590,21340,1,12.75,13065.0,United Kingdom
536590,22776,1,9.95,13065.0,United Kingdom
536590,22794,2,7.95,13065.0,United Kingdom
536590,22622,2,9.95,13065.0,United Kingdom
536590,21055,1,8.95,13065.0,United Kingdom
536591,20750,1,7.95,14606.0,United Kingdom
536591,21629,1,7.95,14606.0,United Kingdom
536591,20780,1,5.49,14606.0,United Kingdom
536591,37449,1,9.95,14606.0,United Kingdom
536591,85064,2,5.45,14606.0,United Kingdom
536591,22121,2,5.95,14606.0,United Kingdom
536593,21524,2,7.95,16835.0,United Kingdom
536593,22366,2,7.95,16835.0,United Kingdom
536595,22121,4,5.95,13576.0,United Kingdom
536595,21756,4,5.95,13576.0,United Kingdom
536595,20679,1,5.95,13576.0,United Kingdom
536597,22220,1,9.95,18011.0,United Kingdom
536599,22968,8,8.5,15694.0,United Kingdom
536599,20749,12,6.35,15694.0,United Kingdom
536599,21056,8,8.95,15694.0,United Kingdom
536600,82486,2,6.95,17850.0,United Kingdom
536600,22752,2,7.65,17850.0,United Kingdom
536600,22803,2,35.75,17850.0,United Kingdom
536602,22752,2,7.65,17850.0,United Kingdom
536605,21364,2,6.75,13715.0,United Kingdom
536605,21042,3,5.95,13715.0,United Kingdom
536605,47567B,3,5.95,13715.0,United Kingdom
536607,72760B,2,9.95,17732.0,United Kingdom
536607,21754,3,5.95,17732.0,United Kingdom
536607,21756,3,5.95,17732.0,United Kingdom
536607,22365,2,7.95,17732.0,United Kingdom
536607,21955,2,7.95,17732.0,United Kingdom
536607,22423,1,12.75,17732.0,United Kingdom
536607,22624,2,8.5,17732.0,United Kingdom
536609,82486,4,6.95,17850.0,United Kingdom
536609,22752,2,7.65,17850.0,United Kingdom
536613,21360,1,9.95,17855.0,United Kingdom
536612,82486,2,6.95,17850.0,United Kingdom
536615,22618,2,9.95,14047.0,United Kingdom
536615,22752,4,8.5,14047.0,United Kingdom
536615,22634,2,9.95,14047.0,United Kingdom
536615,22781,2,7.65,14047.0,United Kingdom
536615,21754,3,5.95,14047.0,United Kingdom
536615,22120,3,9.95,14047.0,United Kingdom
536617,22179,24,5.95,13941.0,United Kingdom
536621,22752,12,8.5,13108.0,United Kingdom
536623,21756,6,5.95,15601.0,United Kingdom
536623,48185,4,7.95,15601.0,United Kingdom
536623,48187,4,7.95,15601.0,United Kingdom
536623,82486,4,7.95,15601.0,United Kingdom
536623,82483,4,5.95,15601.0,United Kingdom
536624,22925,2,5.95,13418.0,United Kingdom
536624,22926,2,5.95,13418.0,United Kingdom
536624,22927,2,5.95,13418.0,United Kingdom
536624,21843,4,10.95,13418.0,United Kingdom
536627,22927,2,5.95,15658.0,United Kingdom
536627,22928,2,5.95,15658.0,United Kingdom
536627,22926,2,5.95,15658.0,United Kingdom
536627,22776,2,9.95,15658.0,United Kingdom
536627,22777,2,8.5,15658.0,United Kingdom
536627,22783,1,19.95,15658.0,United Kingdom
536627,22941,2,8.5,15658.0,United Kingdom
536627,21756,3,5.95,15658.0,United Kingdom
536627,22423,4,12.75,15658.0,United Kingdom
536627,21755,4,5.95,15658.0,United Kingdom
536628,82486,2,6.95,17850.0,United Kingdom
536628,22752,2,7.65,17850.0,United Kingdom
536630,82486,4,6.95,17850.0,United Kingdom
536630,22752,2,7.65,17850.0,United Kingdom
536632,21843,1,10.95,14388.0,United Kingdom
536632,21217,1,9.95,14388.0,United Kingdom
536633,22832,4,10.75,14901.0,United Kingdom
536633,22926,1,5.95,14901.0,United Kingdom
536634,22170,3,6.75,18041.0,United Kingdom
536635,22840,4,7.95,15955.0,United Kingdom
536635,22502,8,5.95,15955.0,United Kingdom
536635,21754,6,5.95,15955.0,United Kingdom
536637,22654,1,5.95,18041.0,United Kingdom
536637,85135B,1,7.95,18041.0,United Kingdom
536637,22768,2,9.95,18041.0,United Kingdom
536637,48138,1,7.95,18041.0,United Kingdom
536637,22796,2,9.95,18041.0,United Kingdom
536637,22654,1,5.95,18041.0,United Kingdom
536638,22499,3,5.95,16244.0,United Kingdom
536638,20750,2,7.95,16244.0,United Kingdom
536638,21527,2,7.95,16244.0,United Kingdom
536638,22502,4,5.95,16244.0,United Kingdom
536638,47590B,3,5.45,16244.0,United Kingdom
536638,47590A,3,5.45,16244.0,United Kingdom
536639,48111,2,7.95,15111.0,United Kingdom
536639,21042,3,5.95,15111.0,United Kingdom
536639,22365,2,7.95,15111.0,United Kingdom
536639,48138,2,7.95,15111.0,United Kingdom
536639,22822,2,5.95,15111.0,United Kingdom
536643,85136A,1,7.95,14390.0,United Kingdom
536643,22634,2,9.95,14390.0,United Kingdom
536667,22423,4,12.75,15260.0,United Kingdom
536667,21217,2,9.95,15260.0,United Kingdom
536672,20749,6,7.95,14491.0,United Kingdom
536674,21064,1,5.95,15923.0,United Kingdom
536674,21364,1,6.75,15923.0,United Kingdom
536674,48173C,1,7.95,15923.0,United Kingdom
536674,22501,1,9.95,15923.0,United Kingdom
536676,22442,2,7.95,16752.0,United Kingdom
536676,22168,2,8.5,16752.0,United Kingdom
536676,22797,1,16.95,16752.0,United Kingdom
536676,21769,1,79.95,16752.0,United Kingdom
536681,22423,3,12.75,17287.0,United Kingdom
536685,22752,4,7.65,17850.0,United Kingdom
536685,22803,2,35.75,17850.0,United Kingdom
536685,82486,4,6.95,17850.0,United Kingdom
536690,82486,4,6.95,17850.0,United Kingdom
536690,22752,4,7.65,17850.0,United Kingdom
536690,22803,2,35.75,17850.0,United Kingdom
536698,85135B,2,7.95,15363.0,United Kingdom
536698,22320,3,5.95,15363.0,United Kingdom
536707,21217,1,9.95,12915.0,United Kingdom
536707,22840,2,7.95,12915.0,United Kingdom
536707,85132A,1,9.95,12915.0,United Kingdom
536707,85132B,1,9.95,12915.0,United Kingdom
536707,85132C,1,9.95,12915.0,United Kingdom
536707,22626,2,8.5,12915.0,United Kingdom
536707,21843,1,10.95,12915.0,United Kingdom
536707,22215,2,8.5,12915.0,United Kingdom
536707,22423,2,12.75,12915.0,United Kingdom
536732,22423,2,12.75,15544.0,United Kingdom
536733,47590B,9,5.45,15738.0,United Kingdom
536738,21843,1,10.95,15827.0,United Kingdom
536738,21217,1,9.95,15827.0,United Kingdom
536738,22841,2,7.95,15827.0,United Kingdom
536738,22840,2,7.95,15827.0,United Kingdom
536740,21217,1,9.95,15827.0,United Kingdom
536739,22120,3,9.95,14180.0,United Kingdom
536739,85159A,2,6.35,14180.0,United Kingdom
536739,85064,2,5.45,14180.0,United Kingdom
536739,21843,1,10.95,14180.0,United Kingdom
536739,20750,2,7.95,14180.0,United Kingdom
536739,35004C,3,5.45,14180.0,United Kingdom
536739,21784,2,9.95,14180.0,United Kingdom
536739,22849,1,16.95,14180.0,United Kingdom
536739,22848,1,16.95,14180.0,United Kingdom
536739,21527,2,7.95,14180.0,United Kingdom
536742,22941,1,8.5,16916.0,United Kingdom
536742,21922,1,7.95,16916.0,United Kingdom
536742,22822,1,5.95,16916.0,United Kingdom
536742,22768,1,9.95,16916.0,United Kingdom
536743,90175C,1,8.95,17964.0,United Kingdom
536743,90180A,1,9.95,17964.0,United Kingdom
536743,90178A,1,11.95,17964.0,United Kingdom
536743,22622,2,9.95,17964.0,United Kingdom
536743,85135B,1,7.95,17964.0,United Kingdom
536743,21623,2,9.95,17964.0,United Kingdom
536743,22785,2,6.75,17964.0,United Kingdom
536743,22654,5,5.95,17964.0,United Kingdom
536744,21625,6,6.95,14466.0,United Kingdom
536744,22423,6,12.75,14466.0,United Kingdom
536744,21843,2,10.95,14466.0,United Kingdom
536744,22839,1,14.95,14466.0,United Kingdom
536745,20749,8,7.95,17235.0,United Kingdom
536745,20750,8,7.95,17235.0,United Kingdom
536746,22768,2,9.95,16510.0,United Kingdom
536746,22795,4,6.75,16510.0,United Kingdom
536746,21259,2,5.95,16510.0,United Kingdom
536746,21258,1,12.75,16510.0,United Kingdom
536746,22169,2,8.5,16510.0,United Kingdom
536746,22767,2,9.95,16510.0,United Kingdom
536748,22191,6,8.5,15107.0,United Kingdom
536748,72760B,2,9.95,15107.0,United Kingdom
536748,22634,2,9.95,15107.0,United Kingdom
536749,90082D,4,6.35,17976.0,United Kingdom
536749,90082A,5,6.35,17976.0,United Kingdom
536749,90082B,5,6.35,17976.0,United Kingdom
536749,90195A,1,8.95,17976.0,United Kingdom
536749,90195B,1,8.95,17976.0,United Kingdom
536749,90196A,1,12.75,17976.0,United Kingdom
536749,90199A,2,6.35,17976.0,United Kingdom
536749,20679,2,5.95,17976.0,United Kingdom
536749,22752,1,8.5,17976.0,United Kingdom
536749,15056N,1,5.95,17976.0,United Kingdom
536750,82486,4,6.95,17850.0,United Kingdom
536750,22752,4,7.65,17850.0,United Kingdom
536750,22803,2,35.75,17850.0,United Kingdom
536752,82486,4,6.95,17850.0,United Kingdom
536752,22752,4,7.65,17850.0,United Kingdom
536752,22803,2,35.75,17850.0,United Kingdom
536759,48111,4,7.95,16781.0,United Kingdom
536759,82484,3,6.45,16781.0,United Kingdom
536759,22183,3,6.75,16781.0,United Kingdom
536759,82486,2,7.95,16781.0,United Kingdom
536759,21781,1,14.95,16781.0,United Kingdom
536759,21257,2,7.95,16781.0,United Kingdom
536759,22928,2,5.95,16781.0,United Kingdom
536759,48185,2,7.95,16781.0,United Kingdom
536761,21217,1,9.95,13491.0,United Kingdom
536761,21527,2,7.95,13491.0,United Kingdom
536762,85014A,3,5.95,16186.0,United Kingdom
536762,85014B,3,5.95,16186.0,United Kingdom
536769,22776,4,9.95,17581.0,United Kingdom
536769,21735,2,12.75,17581.0,United Kingdom
536778,21257,2,7.95,13138.0,United Kingdom
536778,21259,2,5.95,13138.0,United Kingdom
536779,BANK CHARGES,1,15.0,15823.0,United Kingdom
536782,21258,1,12.75,17567.0,United Kingdom
536782,21527,2,7.95,17567.0,United Kingdom
536782,22627,4,8.5,17567.0,United Kingdom
536782,22626,4,8.5,17567.0,United Kingdom
536782,22625,4,8.5,17567.0,United Kingdom
536782,22624,4,8.5,17567.0,United Kingdom
536783,20685,30,6.75,15061.0,United Kingdom
536783,48194,70,6.75,15061.0,United Kingdom
536783,48184,30,6.75,15061.0,United Kingdom
536783,22752,96,7.65,15061.0,United Kingdom
536784,48187,30,6.75,15061.0,United Kingdom
536784,22752,72,7.65,15061.0,United Kingdom
536784,20685,20,6.75,15061.0,United Kingdom
536785,22423,144,10.95,15061.0,United Kingdom
536787,22752,2,7.65,17850.0,United Kingdom
536790,82486,4,6.95,17850.0,United Kingdom
536790,22752,4,7.65,17850.0,United Kingdom
536790,22803,3,35.75,17850.0,United Kingdom
536796,85144,1,7.25,15574.0,United Kingdom
536796,21625,1,6.95,15574.0,United Kingdom
536796,22634,1,9.95,15574.0,United Kingdom
536796,22636,3,8.5,15574.0,United Kingdom
536796,22635,2,9.95,15574.0,United Kingdom
536796,22607,3,9.95,15574.0,United Kingdom
536798,22427,1,5.95,17838.0,United Kingdom
536798,22424,4,12.75,17838.0,United Kingdom
536798,22428,5,6.95,17838.0,United Kingdom
536798,48138,4,7.95,17838.0,United Kingdom
536800,47567B,3,5.95,14829.0,United Kingdom
536802,22941,4,8.5,17412.0,United Kingdom
536802,22179,8,6.75,17412.0,United Kingdom
536802,21463,2,5.95,17412.0,United Kingdom
536804,22423,16,10.95,14031.0,United Kingdom
536804,22777,12,7.65,14031.0,United Kingdom
536804,21524,10,6.75,14031.0,United Kingdom
536804,48138,10,6.75,14031.0,United Kingdom
536804,22926,4,5.95,14031.0,United Kingdom
536804,22365,10,6.75,14031.0,United Kingdom
536804,20679,12,5.95,14031.0,United Kingdom
536804,15056BL,12,5.95,14031.0,United Kingdom
536808,22423,1,12.75,17659.0,United Kingdom
536808,22846,1,16.95,17659.0,United Kingdom
536808,22634,2,9.95,17659.0,United Kingdom
536808,21259,2,5.95,17659.0,United Kingdom
536808,21257,2,7.95,17659.0,United Kingdom
536811,22275,69,7.65,15299.0,United Kingdom
536819,22427,3,5.95,13402.0,United Kingdom
536819,22625,2,8.5,13402.0,United Kingdom
536819,22624,2,8.5,13402.0,United Kingdom
536821,21217,1,9.95,17757.0,United Kingdom
536821,22502,3,5.95,17757.0,United Kingdom
536823,85014A,3,5.95,13011.0,United Kingdom
536832,22763,2,9.95,16634.0,United Kingdom
536832,85066,2,12.75,16634.0,United Kingdom
536833,20749,2,7.95,18239.0,United Kingdom
536833,85014B,3,5.95,18239.0,United Kingdom
536833,22785,4,6.75,18239.0,United Kingdom
536833,22121,3,5.95,18239.0,United Kingdom
536833,21364,2,6.75,18239.0,United Kingdom
536833,21349,2,6.75,18239.0,United Kingdom
536833,21352,2,6.75,18239.0,United Kingdom
536833,21621,2,8.5,18239.0,United Kingdom
536835,22655,1,295.0,13145.0,United Kingdom
536836,22060,2,9.95,18168.0,United Kingdom
536836,37449,2,9.95,18168.0,United Kingdom
536836,22061,2,9.95,18168.0,United Kingdom
536836,21843,2,10.95,18168.0,United Kingdom
536836,22180,1,9.95,18168.0,United Kingdom
536836,47570B,1,10.65,18168.0,United Kingdom
536836,47567B,2,5.95,18168.0,United Kingdom
536836,22193,1,8.5,18168.0,United Kingdom
536837,82486,2,7.95,14395.0,United Kingdom
536837,82483,4,5.95,14395.0,United Kingdom
536837,21754,3,5.95,14395.0,United Kingdom
536837,21755,3,5.95,14395.0,United Kingdom
536837,22171,2,8.5,14395.0,United Kingdom
536839,20685,5,7.95,15093.0,United Kingdom
536839,21524,10,6.75,15093.0,United Kingdom
536841,22768,4,9.95,16150.0,United Kingdom
536841,22169,2,8.5,16150.0,United Kingdom
536841,22171,2,8.5,16150.0,United Kingdom
536841,22170,4,6.75,16150.0,United Kingdom
536841,85064,2,5.45,16150.0,United Kingdom
536840,22776,1,9.95,12738.0,Germany
536840,22215,2,8.5,12738.0,Germany
536840,POST,1,18.0,12738.0,Germany
536842,22502,4,5.95,17552.0,United Kingdom
536842,47590B,6,5.45,17552.0,United Kingdom
536842,47590A,6,5.45,17552.0,United Kingdom
536843,22890,2,9.95,17552.0,United Kingdom
536844,22841,2,7.95,14236.0,United Kingdom
536845,21528,1,6.95,17961.0,United Kingdom
536845,22635,1,9.95,17961.0,United Kingdom
536845,22636,1,8.5,17961.0,United Kingdom
536845,85014A,1,5.95,17961.0,United Kingdom
536845,22634,1,9.95,17961.0,United Kingdom
536846,21754,2,5.95,14573.0,United Kingdom
536846,22752,2,8.5,14573.0,United Kingdom
536846,22776,1,9.95,14573.0,United Kingdom
536846,22427,1,5.95,14573.0,United Kingdom
536846,22794,2,7.95,14573.0,United Kingdom
536846,22424,1,12.75,14573.0,United Kingdom
536846,22625,1,8.5,14573.0,United Kingdom
536846,22624,1,8.5,14573.0,United Kingdom
536846,22423,1,12.75,14573.0,United Kingdom
536846,22443,1,7.95,14573.0,United Kingdom
536846,22442,1,7.95,14573.0,United Kingdom
536846,22797,1,16.95,14573.0,United Kingdom
536846,22607,1,9.95,14573.0,United Kingdom
536846,22605,1,14.95,14573.0,United Kingdom
536846,22501,1,9.95,14573.0,United Kingdom
536846,22179,1,6.75,14573.0,United Kingdom
536846,22468,1,6.75,14573.0,United Kingdom
536846,22180,1,9.95,14573.0,United Kingdom
536846,22502,1,5.95,14573.0,United Kingdom
536851,20749,12,7.95,12967.0,United Kingdom
536851,22503,6,29.95,12967.0,United Kingdom
536851,22180,6,9.95,12967.0,United Kingdom
536851,22504,6,29.95,12967.0,United Kingdom
536852,POST,1,18.0,12686.0,France
536856,22941,2,8.5,13370.0,United Kingdom
536856,22169,2,8.5,13370.0,United Kingdom
536856,22622,4,9.95,13370.0,United Kingdom
536856,22423,2,12.75,13370.0,United Kingdom
536856,22636,2,8.5,13370.0,United Kingdom
536856,22635,2,9.95,13370.0,United Kingdom
536856,22845,2,6.35,13370.0,United Kingdom
536856,21755,3,5.95,13370.0,United Kingdom
536856,22468,4,6.75,13370.0,United Kingdom
